"","V1"
"1",-27.9344896803762
"2",-2.5820358850456
"3",29.2880989535488
"4",-28.7166383307728
"5",-20.3336638705
"6",8.14414881539999
"7",-7.7390123471173
"8",-19.6414544030022
"9",-10.3963265843006
"10",-16.9890126662351
"11",9.48361818528284
"12",-22.1953536549125
"13",18.6285072763501
"14",-19.9391420394039
"15",39.0578361291768
"16",-14.9892736826593
"17",-9.8430553978991
"18",-3.72372258743014
"19",28.1823125690614
"20",14.7590035155314
"21",16.9315614779021
"22",-9.48238924963286
"23",-29.9193314832076
"24",-7.28765144847174
"25",7.59007307367114
"26",-17.1320822983159
"27",21.1898295931336
"28",-18.268441333891
"29",22.8205718521201
"30",38.7984258452866
"31",-30.0622141212679
"32",3.83409428901705
"33",12.228710873528
"34",0.922519844516241
"35",-24.4294435396079
"36",12.7920201722362
"37",-8.93131801399926
"38",-8.71068279599753
"39",-24.033361895347
"40",10.3374516590673
"41",-33.3950965851076
"42",28.9440388082862
"43",-21.3846377908454
"44",-19.5956107294452
"45",-20.9815632198943
"46",-19.7246397649308
"47",143.988894437884
"48",-5.95990121639772
"49",127.887146852885
"50",2.90383272207802
"51",-25.4626805269972
"52",-16.4807884183883
"53",-8.98254848858167
"54",5.96526274019735
"55",-10.0755708923741
"56",-15.4725668332687
"57",-16.3062045822502
"58",-13.3528211946284
"59",-13.8324104791499
"60",6.61092859128169
"61",-11.563216297837
"62",19.9512962131822
"63",-2.57447913880793
"64",-5.26584712970685
"65",-15.3579488905735
"66",-18.5621394576928
"67",-24.9381235110248
"68",109.314524715658
"69",-22.0428950272749
"70",-16.5741369604386
"71",-33.07959770175
"72",-28.8322389537352
"73",-18.0260977563831
"74",-3.21863740689437
"75",-5.60989379401951
"76",-36.3558420001024
"77",0.91349665118698
"78",80.6842710571624
"79",-15.3462083576103
"80",-19.5202035718776
"81",-1.66234536017249
"82",-11.2126140589438
"83",-20.3684435897991
"84",-11.0554114791957
"85",7.61463274156473
"86",-15.0934488518946
"87",-10.5826318793989
"88",-13.7317902716804
"89",32.9841251281263
"90",-18.5263982587965
"91",-12.812097168934
"92",-21.2056839964359
"93",-28.2587283764694
"94",-16.3507527245399
"95",-17.7863601345157
"96",14.7180864220996
"97",32.4167757448303
"98",-21.4977178794581
"99",28.3895006695024
"100",-37.238844789387
"101",-14.7118224020613
"102",-31.2975175121768
"103",-24.0159827909336
"104",8.53832826613759
"105",3.71322661679514
"106",-12.2684883297237
"107",39.7815678474271
"108",8.57148050453599
"109",17.3461531234314
"110",9.50995715058924
"111",-8.53313653010992
"112",-1.29003652025914
"113",-3.76663919238339
"114",75.9432607530771
"115",158.959661683099
"116",3.83690884099824
"117",-22.0748153335662
"118",28.7155238638605
"119",-17.0053883094117
"120",-18.413274005897
"121",5.76760485547836
"122",20.5263592212978
"123",-16.5193785882526
"124",-13.7118347606587
"125",-5.24655968388463
"126",54.1222779694337
"127",-3.51438587588498
"128",-39.0240360875454
"129",4.7710406219056
"130",-33.116150785889
"131",-23.9418004581603
"132",-8.39902473266051
"133",1.77241261437483
"134",-10.7299704169614
"135",1.41196409241498
"136",-2.15085744259163
"137",-15.3327773373827
"138",-9.52714863292882
"139",-20.6614700104632
"140",-28.0074074326415
"141",20.6011814814458
"142",-5.86074847760164
"143",14.181122468677
"144",60.1319674313373
"145",2.06585368045066
"146",-20.0918839415093
"147",-20.5780189872524
"148",74.7645690204136
"149",-1.38990511360416
"150",77.815381735937
"151",-33.6177033549915
"152",80.4841725478153
"153",-7.19261218757732
"154",-6.78937642246219
"155",-2.94631737483893
"156",16.1811539743338
"157",12.4395192261324
"158",6.87551766939022
"159",-13.4538724974999
"160",4.64282965242778
"161",-4.84648900542089
"162",-11.3768060579853
"163",-14.3980090542374
"164",10.6795444589426
"165",-8.37309964208054
"166",-32.2609948343316
"167",13.2085684497797
"168",-11.1829354152538
"169",-8.57946354923933
"170",-2.97439157464112
"171",-14.6842154982226
"172",-18.4768227754374
"173",-22.1614975033985
"174",2.94919087819268
"175",-3.46264309928453
"176",43.6052177368696
"177",-15.6934937114557
